Preference Vector (1/5): 1.0, 0.0
1/100: weights=[0.02638035 1.9736196 ], train_loss=[1.3845192  0.57850736], train_acc=[0.520775   0.78288333], test_loss=[1.3593028 0.5979949], test_acc=[0.52795 0.7715 ]
2/100: weights=[0.22019821 1.7798018 ], train_loss=[1.2336776  0.53301746], train_acc=[0.5745     0.80114167], test_loss=[1.2053548  0.57009476], test_acc=[0.58025 0.79155]
3/100: weights=[0.1661099 1.8338901], train_loss=[1.2457231 0.4912311], train_acc=[0.57050833 0.81995   ], test_loss=[1.2233825 0.5325289], test_acc=[0.5769 0.8069]
4/100: weights=[-0.03343763  1.9665624 ], train_loss=[1.4440181  0.43911797], train_acc=[0.489875   0.83706667], test_loss=[1.4309757  0.48262122], test_acc=[0.48985 0.82185]
5/100: weights=[-0.08927145  1.9107285 ], train_loss=[1.2783008  0.45972434], train_acc=[0.558575 0.829475], test_loss=[1.2627318  0.51287895], test_acc=[0.5576 0.8113]
6/100: weights=[0.05646719 1.9435328 ], train_loss=[1.6717962  0.41441134], train_acc=[0.43333333 0.8458    ], test_loss=[1.6414146  0.46525714], test_acc=[0.4412 0.8273]
7/100: weights=[-0.12860258  1.8713974 ], train_loss=[1.6344229 0.4204822], train_acc=[0.43044167 0.84435833], test_loss=[1.6160525  0.47013915], test_acc=[0.4336 0.8234]
8/100: weights=[0.07018627 1.9298137 ], train_loss=[2.1145241  0.39160866], train_acc=[0.29943333 0.85608333], test_loss=[2.0821438  0.44456705], test_acc=[0.30665 0.8401 ]
9/100: weights=[0.12755108 1.872449  ], train_loss=[1.528564   0.37350315], train_acc=[0.466125 0.860675], test_loss=[1.5169915  0.43518803], test_acc=[0.4716  0.83965]
10/100: weights=[0.03045569 1.9695442 ], train_loss=[1.4743639  0.37131062], train_acc=[0.48958333 0.861875  ], test_loss=[1.4486961  0.43958312], test_acc=[0.4984 0.8377]
11/100: weights=[0.070105 1.929895], train_loss=[1.539518   0.37960395], train_acc=[0.45975833 0.857025  ], test_loss=[1.5210851  0.44294205], test_acc=[0.4617  0.83735]
12/100: weights=[-0.13675368  1.8632463 ], train_loss=[1.4660472  0.36190927], train_acc=[0.49001667 0.86274167], test_loss=[1.446029   0.42911565], test_acc=[0.4986 0.8412]
13/100: weights=[-0.02950007  1.9704999 ], train_loss=[1.4090492  0.35313973], train_acc=[0.51778333 0.86739167], test_loss=[1.3905517  0.42296177], test_acc=[0.51975 0.84645]
14/100: weights=[-0.00970566  1.9902945 ], train_loss=[1.3727341 0.3598869], train_acc=[0.52751667 0.86591667], test_loss=[1.3423895  0.44012028], test_acc=[0.53415 0.84095]
15/100: weights=[0.09521831 1.9047816 ], train_loss=[1.1683841  0.32176816], train_acc=[0.59879167 0.88005833], test_loss=[1.1424081  0.41075972], test_acc=[0.60525 0.85025]
16/100: weights=[0.20264603 1.797354  ], train_loss=[1.1812271  0.33010012], train_acc=[0.59348333 0.87679167], test_loss=[1.1563326  0.41826385], test_acc=[0.5961 0.8464]
17/100: weights=[0.35137782 1.6486222 ], train_loss=[1.0596066 0.3338721], train_acc=[0.63744167 0.87545833], test_loss=[1.0360194 0.4269037], test_acc=[0.64025 0.8452 ]
18/100: weights=[0.13611762 1.8638824 ], train_loss=[1.0654753  0.32705724], train_acc=[0.6342     0.87819167], test_loss=[1.040441   0.42305028], test_acc=[0.63735 0.84765]
19/100: weights=[0.18868779 1.8113122 ], train_loss=[1.0904506 0.3167488], train_acc=[0.62363333 0.881775  ], test_loss=[1.0671365  0.41481686], test_acc=[0.63065 0.84975]
20/100: weights=[0.1243358 1.8756642], train_loss=[1.0404946 0.3232275], train_acc=[0.64286667 0.87810833], test_loss=[1.0185931  0.42066425], test_acc=[0.64475 0.8475 ]
21/100: weights=[0.05858988 1.9414102 ], train_loss=[1.0128583 0.3249335], train_acc=[0.65485 0.87715], test_loss=[0.9962026  0.41878897], test_acc=[0.65145 0.84705]
22/100: weights=[0.18398324 1.8160168 ], train_loss=[0.9847574 0.3143903], train_acc=[0.66414167 0.883275  ], test_loss=[0.96428084 0.41436562], test_acc=[0.66495 0.85065]
23/100: weights=[0.33280432 1.6671957 ], train_loss=[0.9716309  0.30528653], train_acc=[0.67046667 0.88654167], test_loss=[0.952957   0.40495232], test_acc=[0.66825 0.853  ]
24/100: weights=[0.19805531 1.8019447 ], train_loss=[0.96785283 0.3143563 ], train_acc=[0.67348333 0.88265833], test_loss=[0.9505855 0.42074  ], test_acc=[0.67235 0.85005]
25/100: weights=[-0.08460229  1.9153976 ], train_loss=[0.91975975 0.3153352 ], train_acc=[0.68840833 0.88255   ], test_loss=[0.9034261  0.42140773], test_acc=[0.68775 0.8492 ]
26/100: weights=[0.38998237 1.6100177 ], train_loss=[0.9000235  0.30655175], train_acc=[0.69606667 0.88543333], test_loss=[0.88246155 0.4196736 ], test_acc=[0.69325 0.84785]
27/100: weights=[0.44797167 1.5520283 ], train_loss=[0.92190176 0.31504375], train_acc=[0.68793333 0.88186667], test_loss=[0.909431   0.42571694], test_acc=[0.6846 0.8468]
28/100: weights=[0.33447173 1.6655283 ], train_loss=[0.9108527 0.2995254], train_acc=[0.6924   0.888675], test_loss=[0.89797413 0.41098428], test_acc=[0.68955 0.8549 ]
29/100: weights=[0.08501083 1.9149891 ], train_loss=[0.8761888  0.30518782], train_acc=[0.70398333 0.88528333], test_loss=[0.86056215 0.4152001 ], test_acc=[0.70405 0.85175]
30/100: weights=[0.35403457 1.6459655 ], train_loss=[0.8490296 0.2915682], train_acc=[0.7139  0.89195], test_loss=[0.83552706 0.41279173], test_acc=[0.71075 0.85255]
31/100: weights=[0.34659028 1.6534097 ], train_loss=[0.8407158  0.28743947], train_acc=[0.7172   0.893925], test_loss=[0.8283966  0.41635957], test_acc=[0.71515 0.85215]
32/100: weights=[0.08789128 1.9121088 ], train_loss=[0.83559847 0.29050127], train_acc=[0.71881667 0.89158333], test_loss=[0.8240717 0.4150959], test_acc=[0.71295 0.8526 ]
33/100: weights=[0.25398904 1.7460108 ], train_loss=[0.82708174 0.2917633 ], train_acc=[0.72355833 0.89079167], test_loss=[0.81402785 0.42268357], test_acc=[0.7213  0.84895]
