Preference Vector (1/5): 1.0, 0.0
1/100: weights=[0.7162275 1.2837726], train_loss=[1.5712996  0.93534285], train_acc=[0.398525 0.646775], test_loss=[1.5721245  0.94276834], test_acc=[0.39405 0.6468 ]
2/100: weights=[0.500941 1.499059], train_loss=[1.0974464  0.77109617], train_acc=[0.595375   0.71610833], test_loss=[1.1059632 0.796185 ], test_acc=[0.58935 0.7061 ]
3/100: weights=[0.11272061 1.8872793 ], train_loss=[1.2019798 0.6944755], train_acc=[0.56144167 0.74563333], test_loss=[1.2065389  0.71943873], test_acc=[0.5575 0.734 ]
4/100: weights=[0.07198486 1.9280152 ], train_loss=[2.0003493 0.6548432], train_acc=[0.37470833 0.75684167], test_loss=[2.0017724 0.683913 ], test_acc=[0.3714 0.7489]
5/100: weights=[-0.03971977  1.9602802 ], train_loss=[1.3425753 0.625319 ], train_acc=[0.51796667 0.767275  ], test_loss=[1.3441399 0.6672368], test_acc=[0.5131 0.753 ]
6/100: weights=[0.002 1.998], train_loss=[2.8434207 0.6074066], train_acc=[0.27226667 0.77604167], test_loss=[2.8368204 0.6444443], test_acc=[0.27245 0.764  ]
7/100: weights=[-0.04907673  1.9509232 ], train_loss=[2.9839983 0.5771875], train_acc=[0.2235     0.78704167], test_loss=[2.9591305 0.6167116], test_acc=[0.2257 0.7744]
8/100: weights=[0.002 1.998], train_loss=[3.1436605 0.549667 ], train_acc=[0.20273333 0.79384167], test_loss=[3.1243012 0.5934402], test_acc=[0.2037  0.78045]
9/100: weights=[-0.06048619  1.9395139 ], train_loss=[2.5810053 0.5439745], train_acc=[0.25259167 0.79658333], test_loss=[2.5670583 0.5928141], test_acc=[0.25135 0.77935]
10/100: weights=[0.002 1.998], train_loss=[2.5200636 0.5201981], train_acc=[0.24705833 0.805775  ], test_loss=[2.5097673  0.57739556], test_acc=[0.24535 0.78845]
11/100: weights=[0.1042239 1.8957762], train_loss=[2.5352814 0.5243734], train_acc=[0.25844167 0.8053    ], test_loss=[2.5359526 0.5835481], test_acc=[0.25745 0.785  ]
12/100: weights=[0.12056987 1.8794302 ], train_loss=[2.3814116  0.51006645], train_acc=[0.26804167 0.810275  ], test_loss=[2.3652933 0.5739224], test_acc=[0.2695 0.7925]
13/100: weights=[0.06438429 1.9356159 ], train_loss=[2.1788561  0.50683284], train_acc=[0.30926667 0.80988333], test_loss=[2.1714065 0.571693 ], test_acc=[0.31185 0.79205]
14/100: weights=[0.00823347 1.9917666 ], train_loss=[2.597731   0.48974237], train_acc=[0.243025   0.81701667], test_loss=[2.5637841  0.56484073], test_acc=[0.2475 0.7904]
15/100: weights=[0.002 1.998], train_loss=[2.254856  0.4668642], train_acc=[0.294775   0.82501667], test_loss=[2.2307522 0.5453221], test_acc=[0.2985 0.7987]
16/100: weights=[0.15027687 1.8497231 ], train_loss=[2.3775377 0.46511  ], train_acc=[0.28864167 0.82605   ], test_loss=[2.3512194 0.5438543], test_acc=[0.2885  0.79835]
17/100: weights=[-0.14916638  1.8508337 ], train_loss=[2.1784995  0.45609972], train_acc=[0.30658333 0.82961667], test_loss=[2.169021   0.54188454], test_acc=[0.30575 0.79915]
18/100: weights=[0.06130404 1.9386959 ], train_loss=[2.348496  0.4520474], train_acc=[0.2885     0.83134167], test_loss=[2.3248663 0.5411585], test_acc=[0.28525 0.801  ]
19/100: weights=[0.002 1.998], train_loss=[2.29916   0.4597186], train_acc=[0.29875833 0.82765   ], test_loss=[2.2890217 0.547062 ], test_acc=[0.2984 0.8013]
20/100: weights=[0.06676983 1.9332303 ], train_loss=[2.3858876  0.46448588], train_acc=[0.28396667 0.82530833], test_loss=[2.3557153  0.55211693], test_acc=[0.2869 0.7955]
21/100: weights=[0.002 1.998], train_loss=[2.5539176  0.45295414], train_acc=[0.27068333 0.83010833], test_loss=[2.5242898  0.54842013], test_acc=[0.27165 0.79805]
22/100: weights=[0.06935146 1.9306486 ], train_loss=[2.2857246  0.44337836], train_acc=[0.309525 0.834425], test_loss=[2.2856126  0.53518635], test_acc=[0.30765 0.80035]
23/100: weights=[0.14557692 1.8544232 ], train_loss=[2.3883643  0.44847196], train_acc=[0.29706667 0.832025  ], test_loss=[2.363381  0.5517247], test_acc=[0.2988 0.7985]
24/100: weights=[0.15672089 1.8432791 ], train_loss=[2.1672711  0.44139782], train_acc=[0.32208333 0.83481667], test_loss=[2.159148  0.5451721], test_acc=[0.3209  0.79995]
25/100: weights=[0.01086407 1.9891359 ], train_loss=[1.9917396  0.43660414], train_acc=[0.35283333 0.836825  ], test_loss=[1.9877676 0.5410385], test_acc=[0.353  0.8015]
26/100: weights=[0.002 1.998], train_loss=[2.396344   0.44003645], train_acc=[0.30359167 0.836175  ], test_loss=[2.3906803  0.54521435], test_acc=[0.3009 0.7984]
27/100: weights=[0.25631863 1.7436813 ], train_loss=[2.0453522  0.43664128], train_acc=[0.33375833 0.83709167], test_loss=[2.0438445 0.539776 ], test_acc=[0.3307  0.80125]
28/100: weights=[-0.01763733  1.9823626 ], train_loss=[1.9998308  0.43529373], train_acc=[0.355875   0.83671667], test_loss=[1.9863414 0.5449991], test_acc=[0.35595 0.7997 ]
29/100: weights=[0.008595 1.991405], train_loss=[2.0914066  0.42638606], train_acc=[0.3378     0.83988333], test_loss=[2.06967   0.5423055], test_acc=[0.33655 0.80215]
