Preference Vector (1/5): 1.0, 0.0
1/100: weights=[0.3066476 1.6933523], train_loss=[0.8681887  0.67096716], train_acc=[0.71666667 0.776325  ], test_loss=[0.8578506  0.66996616], test_acc=[0.71985 0.775  ]
2/100: weights=[0.07960694 1.920393  ], train_loss=[1.1435536 0.5651002], train_acc=[0.62574167 0.81214167], test_loss=[1.1174353  0.56938434], test_acc=[0.6277 0.811 ]
3/100: weights=[0.06545862 1.9345415 ], train_loss=[0.8299575  0.47015095], train_acc=[0.73085833 0.842625  ], test_loss=[0.81415963 0.48633075], test_acc=[0.7376 0.8378]
4/100: weights=[0.10964357 1.8903564 ], train_loss=[0.6589254  0.43262917], train_acc=[0.78795    0.85441667], test_loss=[0.64750355 0.4573252 ], test_acc=[0.7899 0.8472]
5/100: weights=[0.19327475 1.8067253 ], train_loss=[0.66122794 0.41068867], train_acc=[0.782425   0.86149167], test_loss=[0.6413157  0.43512052], test_acc=[0.78985 0.8553 ]
6/100: weights=[0.41472402 1.5852759 ], train_loss=[0.6371534  0.41600412], train_acc=[0.790975 0.860925], test_loss=[0.62708956 0.45149246], test_acc=[0.79025 0.85165]
7/100: weights=[0.38344994 1.6165501 ], train_loss=[0.575193   0.38522044], train_acc=[0.81248333 0.87168333], test_loss=[0.56620413 0.42051873], test_acc=[0.8133  0.86115]
8/100: weights=[-0.08035637  1.9196435 ], train_loss=[0.60789144 0.3778832 ], train_acc=[0.80111667 0.87308333], test_loss=[0.6105252  0.41573575], test_acc=[0.7997 0.86  ]
9/100: weights=[0.17329209 1.826708  ], train_loss=[0.5250567 0.3681631], train_acc=[0.831      0.87494167], test_loss=[0.5192387  0.42125896], test_acc=[0.83175 0.8581 ]
10/100: weights=[0.30843702 1.691563  ], train_loss=[0.49680406 0.32909906], train_acc=[0.83856667 0.889375  ], test_loss=[0.49159813 0.37073377], test_acc=[0.8388 0.873 ]
11/100: weights=[0.34697747 1.6530225 ], train_loss=[0.50152045 0.3527287 ], train_acc=[0.83708333 0.88028333], test_loss=[0.49325693 0.39905703], test_acc=[0.8393 0.8669]
12/100: weights=[0.3533201 1.6466799], train_loss=[0.4896485 0.3566624], train_acc=[0.84035    0.88110833], test_loss=[0.4869264  0.41176897], test_acc=[0.8414 0.8673]
13/100: weights=[0.18757118 1.8124287 ], train_loss=[0.51633674 0.3439993 ], train_acc=[0.83003333 0.88309167], test_loss=[0.5145052 0.4037964], test_acc=[0.8304 0.8665]
14/100: weights=[0.39156 1.60844], train_loss=[0.46377707 0.32357392], train_acc=[0.84970833 0.888675  ], test_loss=[0.46634105 0.38854548], test_acc=[0.8494 0.8678]
15/100: weights=[0.42716652 1.5728335 ], train_loss=[0.44248205 0.283778  ], train_acc=[0.85620833 0.90471667], test_loss=[0.44639027 0.35242888], test_acc=[0.8538 0.8815]
16/100: weights=[0.18760107 1.8123989 ], train_loss=[0.4337545  0.27715433], train_acc=[0.85915 0.90655], test_loss=[0.43743452 0.3486248 ], test_acc=[0.8588  0.88525]
17/100: weights=[0.32379466 1.6762054 ], train_loss=[0.42760366 0.27880886], train_acc=[0.86073333 0.90643333], test_loss=[0.4328364  0.35318944], test_acc=[0.85825 0.8823 ]
18/100: weights=[0.41976488 1.580235  ], train_loss=[0.42745477 0.27718544], train_acc=[0.86081667 0.906625  ], test_loss=[0.43515635 0.34565264], test_acc=[0.85715 0.8852 ]
19/100: weights=[0.3800142 1.6199859], train_loss=[0.41867176 0.27607086], train_acc=[0.8639     0.90618333], test_loss=[0.42580023 0.35289252], test_acc=[0.85925 0.8835 ]
20/100: weights=[0.3771134 1.6228867], train_loss=[0.41553903 0.26686892], train_acc=[0.864925 0.90975 ], test_loss=[0.4226064  0.34151942], test_acc=[0.8615 0.8858]
21/100: weights=[0.2651226 1.7348773], train_loss=[0.41061786 0.26979408], train_acc=[0.86645    0.90776667], test_loss=[0.41786146 0.34924376], test_acc=[0.8636  0.88315]
22/100: weights=[0.59190655 1.4080935 ], train_loss=[0.4103881  0.26425692], train_acc=[0.86708333 0.91064167], test_loss=[0.41423237 0.33957502], test_acc=[0.86535 0.88655]
23/100: weights=[0.21062244 1.7893775 ], train_loss=[0.4141926  0.26316577], train_acc=[0.86394167 0.91095   ], test_loss=[0.42559874 0.34271237], test_acc=[0.85975 0.88415]
24/100: weights=[0.43930098 1.5606991 ], train_loss=[0.40588227 0.26265624], train_acc=[0.868625 0.910725], test_loss=[0.40974134 0.34688073], test_acc=[0.8652 0.8859]
25/100: weights=[0.5181349 1.481865 ], train_loss=[0.4033987  0.25848272], train_acc=[0.86989167 0.91220833], test_loss=[0.41381562 0.34438375], test_acc=[0.8633  0.88575]
26/100: weights=[0.3887598 1.6112401], train_loss=[0.39462307 0.25798017], train_acc=[0.87205833 0.912625  ], test_loss=[0.40589756 0.3460443 ], test_acc=[0.8661  0.88375]
27/100: weights=[0.53332645 1.4666735 ], train_loss=[0.4010006  0.25565633], train_acc=[0.86950833 0.91374167], test_loss=[0.41349983 0.34668753], test_acc=[0.865  0.8853]
